reviewer name,number of reviews by reviewer,review title,review rating,review
Triple L,1,MYER Melbourne in Bourke St,Bad,Poor customer service by the middle aged lady at the gift wrapping service. She was generally unpleasant and was also rude to kids yelling hurry up when they asked for help. I will not get my gifts wrapped over there again.
Karen Morgan,1,Myer online shopping - very poor experience,Bad,"Recently ordered a blender online from Myer, a week and a half later, still no blender received.  I rang them to inquire what had happened, only to find out it was out of stock.  Myer very happily took my money for this order, but delivered nothing, nor did anyone seek to keep me informed about what had happened, If I had not rang them to find out, I wonder when they may have decided to actually proactively contact me to let me know.  Very poor experience, and has made me very wary about buying online from them again."
Jim Templar,1,30 day returns guarantee means nothing. Scammers!,Bad,"Went to Myers electronics department yesterday to return Bose headphones as I wasn't happy with recent purchase and wanted to exchange under 30 day exchange policy. I was told by customer services that this doesn't apply anymore. He also smugly told me that if I had bought from Bose direct that they would have refunded me according to the 30 day excitement guarantee. So the moral of the story is DON't buy anything from Myers. They don't honour their promises. This lack of integrity explains why this company is doing so badly. Oh by way, a note to the electronics department manager, I have convinced family members to cancel over $10,000 of household purchases with your store. So I hope your Queen Street management reward you for your great customer service (sarcasm.) Also remember the customer comes first, especially if they have been loyal through the years. Neither I nor my family will be visiting Myers again. Lucky we have a David Jones nearby."
Gulam,1,Please avoid shopping at Myer Brisbane…,Poor,"Please avoid shopping at Myer Brisbane City Ladies Fashion department .I bought a Shirt from their clearance rack for my sister. Whilst in the store my sister advised it was the wrong size. I went to change the item the one in her size was soiled.I was told I couldn’t get a refund or exchange it for a full priced item, according to their new policies.The new policy is only printed on the receipt But there is no signage in store and the staff don’t advise you when processing the sale.NO MORE GIFT SHOPPING AT MYER"
Double Colour,1,Dissatisfied with online returns policy,Bad,I'm extremely disappointed with the returns policy. Why would anyone buy from Myer when they charge to return items? Wanted to support an Australian owned business but I've just donated $20 freight charges for no item. Other sites understand it's a risk to buy online and therefore offer a free returns policy. Pity as I'd continue to buy from Myer if they didn't charge to return.
Diane,1,Poor Service,Poor,Just received an email today (18Nov) at 11:53am to say I can collect my online order on 12th Nov. I went and picked it up but I had been there shopping off an on and would  have picked it up last week instead of making a special trip today to collect my order. Very poor service.
Debby Grapsas,1,I was extremely pleased by the…,Excellent,I was extremely pleased by the exceptional customer service I received from Hayley at the Clinique counter at Garden City. Full of knowledge such a lovely young lady. Thankyou so much for all of your help. I will be back to see you again
M.b,1,A lot of room for improvement,Bad,"I bought a pair of expensive shoes when they were having their sale last week ($65 off) and they quickly sold out of a lot of sizes after my order. Coincidently they sent me the wrong size. I called my local store and the woman was extremely blunt and unhelpful. I later called the Myer call centre to help me with this issue. The guy was extremely nice but just said ""return them to your store for a refund"". I now have to go out of my way to return the wrong sized shoes that were sent to me by THEIR mistake, and buy them somewhere else full price? I don't see how that's fair?"
Sue Saber,1,Order on hold,Bad,I put an order on hold and when I got back there they couldn’t find my order.
Dee,1,Disgusted at the customer service given…Still waiting for a reply.,Bad,"Disgusted at the customer service given by Myer.  No one wants to take responsibility.  Purchased a shirt online and the shirt was damaged.  Rang my local store to get a replacement, but they told me that I could just sew the new button back on.  I said that I purchased the item new and that I shouldn’t have to fix it.  They then informed me that no stores in Australia had any in stock and they couldn’t find a replacement.  I rang the complaints line and they informed me that they had lied and that there was a replacement at a store just 100 kms away.  They got the store manager to ring me and he apologised and said that they would get the replacement and he asked if I wanted him to call when it got there. I said yes.  Two weeks later, no shirt, no call so I ring complaints again and they say they will get the manager to call me. 4 days later no call, so ring complaints again.  The phone call took 45 mins, just to be told the store could not find the shirt anywhere and that I could just get a refund.  I asked to speak to management and was told they would get them to call.  I said I would be driving and that they needed to call after 30 minutes.  So I start driving and the phone rings.  Of course I couldn’t answer it.  So I ring complaints the next day and tell them the whole story and that I requested to speak to management.  Told her an exact timeframe they could call.......and 6 days later, I’m still waiting.  This is disgraceful...they have had my money for 5 weeks and I still have a shirt that was damaged, that I paid full price for!"
Carol Berryman,1,What is happening at Myer Tea Tree…,Bad,"What is happening at Myer Tea Tree Plaza? Where are the staff for customer service? I wandered around the cosmetics area trying to find someone or to be seen by staff. Eventually I asked a woman clearly assigned to another area to help me and she went to find a staff member who came but wanted to send me to the Clinique counter ( I wanted to buy a new Revlon product and had questions). This staff member didn't have knowledge of the brand so I had to figure it out for myself. My mother, who was in the shoe department, met up with me and told me her sales assistant seemed disinterested in serving her. Disappointing."
meryl,1,Remembrance Day today,Bad,"Remembrance Day today.  I was absolutely disgusted that while the Last Post was playing and the one minute's silence being observed, Myer Miranda continued to play their in-store music throughout.  Even some of the staff made a comment about how disrespectful it was."
Leonie,2,No refund for sale items.,Poor,What a shame we are unable to take advantage of Myer sales as the new policy means that anything purchased at a reduced price cannot be returned.  Being a country client online shopping is OUT for me now.  Not a good policy.
benson,1,I have shopped in Myer for many years,Great,"I have shopped in Myer for many years, this time I went to Canberra Canter MYER to  buy a bed (on 6/10/2019) not knowing what bed I was looking for, and PAUL ( SealyBedding section) came to my rescue. He was most helpful and went out of his way to find me a bed that I liked .My experience in relation to customer service provided by PAUL was gold star service and he deserves to be acknowledged for it. I did end up buying a bed and I’m happy with that. It is a real treat to have them look after you. Well done PAUL. Well done MYER. Please don’t lose PAUL."
Katie,1,Canberra City Myer - lazy women’s lingerie staff playing on tablet,Bad,"Canberra City Myer Women’s lingerie staff - one older woman - too busy on the tablet to assist. I was there first thing. No other customers around. Asked to be sized her, she said sure, hardly taking her eyes off the tablet. I wait 15 mins in waiting room, nothing. I leave and there she is playing on the tablet still. Absolutely lazy pathetic customer service. I’ve had other instances in the same section ages ago when staff don’t even know there own sales. Deny to give me item at reduced price only to go to Myer Belconnen and have no issues at all."
Edin Saric,1,Kids Wear - Warringah mall,Excellent,"I really enjoyed my shopping experience at Warringah Mall Myer today, great product range and excellent customer service and assistance from Vesna at kid’s wear."
Mim,2,Beware of the new returns policy at…,Bad,Beware of the new returns policy at Myer! Don’t buy Christmas gifts there as you only have a strict 30 Day return policy. Also beware that anyth purchased marked CLEARANCE they will not allow you to return! I used to buy clothes from the clearance section for my husband and children but I’ll never do that again.
Andrea,1,"Where is the customer service, Myer???",Bad,"I spent about an hour in Myer Civic today, not one person asked if i required assistance, I selected items to try on, showed myself into the change room, still no one around! Had to get dressed to go and find another size, all a good fit. I proceeded to the counter to purchase 2 shirts and a dress... you’ll never guess, no one around to serve😳 I waited for a few minutes then left a note on my clothes saying, waited too long! Myer, no wonder you are going broke...poor, poor service!"
Alicia,1,Be warned - Myer staff at call centre 13 69 37 are so rude and so aggressive,Bad,"The rude and aggressive ""customer service"" person on their 13 69 37 number is Phil, and his manager Antoinella is so unprofessional she won't  call you back. Their customer service team on that number has a very defensive, ""us vs them"" attitude. Phil is passive aggressive and talks over the top of you - I couldn't finish one sentence without him, as he put it, ""politely interjecting"". He was raising his voice over the top of mine everytime I tried to speak.I bought a bag online for sale but it was cancelled. I knew it was still available because I could see it online for full price (Myer are con artists). After he refused to send it out to me I asked to speak to his manager. He told me there was nothing she could do. I asked 5 times for his manager & he repeated 5 times that she couldn't help me. After a ridiculous amount of time had passed he finally agreed to have his manager call me, but then proceeded to say again that there was nothing she could do - it was the rudest most frustrating conversation I've ever had. I then purchased the bag online for full price & received confirmation the next day that it had been shipped. I called their team again to speak to the manager Antoinella, Phil answered and said ""Is this about the handbag?"" He left for a minute & then came back and said Antoinella was not available. When I told him the bag was available and was being shipped out to me at full price, he said - I'm glad you got what you wanted. There was no apology and no explanation as to why the item was cancelled at sale price, but shipped out to me the next day at full price. I asked him for an apology and he kept saying - I'm glad you got what you wanted. I kept trying to speak and Phil kept talking over the top of me. I still haven't received a refund or an apology for their dodgy practices and aggressive staff.I emailed Myers complaints team at myercsc... only to be told that I need to call that Phil & Antoinella' s team to resolve this. What a joke - I have to make a complaint to the team that my complaint is about. I seriously can't stand the thought of Myer anymore."
Mary Rooney,1,I ordered a bag on Meyer market site…,Bad,I ordered a bag on Meyer market site the 10th September to be shipped to Perth it only arrived this week. Six weeks later not good enough. Mary Rooney have asked for an explanation. They emailed me for order number last week and have not come back to me
Svoschick,2,Disappointment! Lack of Customer Service,Bad,"If I could give zero stars I would! Ordered from Myer online and one week later the order is still ""in progress"". I called the customer service number and just wasted 30 minutes of my life! They could not explain why the order was stuck and could not give me an estimated time frame of when it would be resolved. I asked for the phone number to the complaints department so i could escalate it, only to be told by the consultant that he didn't know the number and that he can't help me. Why have a customer service team at all if you just answer phones and tell people you can't help them. What is the point really?"
Jacqueline Tong,3,Went to MYER Miranda today,Poor,"Went to MYER Miranda today to purchase a watch, stood there for 20 mins and no one around to serve you at all. I wanted around it try and find someone whilst my partner waited at the counter, when I came back he still hadn’t been served. We ended up leaving and going to david Jones, what a joke!"
Graeme,3,Myer is a sinking ship,Bad,Terrible online experience. After 8 days rang the warehouse and got transferred to Australia post where the phone call ended. Finally got on to warehouse where I was told I had to get partner to email giving permission to talk with me just to tell me where the parcels are as the Myer one card was in their name. Said they would send confirmation email finally but never got it just happens to get goods the next day. The worst online experience I've had in a long time. Not surprised Myer is going down.
SagGilBal,1,Terrible website.,Bad,Tried in vain to order gift card online. Should be easiest thing to do these days. Will not let me enter a  delivery address different to the billing address. Not the first time I’ve had this problem but will be the last as I will not use this site again.
Muthafcka,4,"Bye, Myer!",Bad,"I went to myer chadstone for the final time today. Waited at counter for 15 mins in a queue with 3 others when a second assistant finally arrived she served the first person she saw. That person hadn’t been in the queue but had just barged in. Myer staff have zero customer service skills at all. Good ridence, Myer."
Liz,1,Used to shop at Myer Highpoint…,Bad,"Used to shop at Myer Highpoint frequently. Experience the last 12 months has been awful. When both Estee Lauder and Clinique had free gifts, they didn't have the stock I wanted. Tuesday went over for Lancombe Zen Masque, none available sales assistant said I should try David Jones and told me that they aren't allowed to carry large amounts of stock.With the Clinique product I was advised by online chat that the Jandalop WA store had some that I could pick up.. Also tried to order Sohum diffuser online, only two available so would have to pay for delivery. Any hints here as to Myer sales are dropping."
